Sno,Hospital Id,Hospital Name,State,District,,,,Hospital Contact,Specialities Selected,Hospital Type,Empanelment Type,Submitted Date,Status Updated Date,Application Status,OnBoarded For Convergence Scheme,Upgraded Specialities,Current Specialities
1859,HOSP10G14805,PHC THAKURGANJ,BIHAR,KISHANGANJ,,,,9470003405,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1860,HOSP10G14809,PHC KOCHADHAMAN,BIHAR,KISHANGANJ,,,,9470003407,"M1,M7,S1,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16"
1861,HOSP10G14814,PHC BAHADURGANJ,BIHAR,KISHANGANJ,,,,7903237205,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1862,HOSP10G14816,PHC DIGHALBANK,BIHAR,KISHANGANJ,,,,9470003408,"S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S16
1863,HOSP10G14822,CHC PHULWARISHARIF PATNA.801505,BIHAR,PATNA,,,,9470003591,"M1,M7,S1,S3,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S3"
1864,HOSP10G14823,RH CHHATTARGACHH,BIHAR,KISHANGANJ,,,,9470003406,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1865,HOSP10G14896,SDH MASAURHI,BIHAR,PATNA,,,,9835261379,"M1,M7,S1,S2,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S2, S4"
1866,HOSP10G14929,PHC Karaiparsurai,BIHAR,NALANDA,,,,9304966160,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1"
1867,HOSP10G14972,CHC Hussainganj,BIHAR,SIWAN,,,,7870037386,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,-NA-
1868,HOSP10G15051,CHC Rahui,BIHAR,NALANDA,,,,9835207784,"M1,M7,S1,S2,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S2, S4"
1869,HOSP10G15113,CHC FATUHA,BIHAR,PATNA,,,,9470003555,"M1,M7,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S4"
1870,HOSP10G15340,Sub Divisional Hospital Paliganj,BIHAR,PATNA,,,,9470003602,"M1,M7,M2,S1,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S1, S4"
1871,HOSP10G15350,RH Siswan,BIHAR,SIWAN,,,,9708244779,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,-NA-
1872,HOSP10G15364,PHC Naubatpur,BIHAR,PATNA,,,,9304501284,"M1,M7,S1,S16,S3,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S3, S4, S5"
1873,HOSP10G15376,PHC PANCHDEORI,BIHAR,GOPALGANJ,,,,9931193505,"M1,M7,S1,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16"
1874,HOSP10G15379,PHC THAWE,BIHAR,GOPALGANJ,,,,9939107680,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1875,HOSP10G15384,CHC SIDHWALIYA,BIHAR,GOPALGANJ,,,,9470003312,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,-NA-
1876,HOSP10G15393,SDH NARKATIAGANJ ,BIHAR,WEST CHAMPARAN,,,,9470003215,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1877,HOSP10G15424,phc govindpur,BIHAR,NAWADA,,,,8409415855,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1878,HOSP10G15427,phc meskaur,BIHAR,NAWADA,,,,9431289301,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M1,M7,M2,S1,S16,S4,","S1, M1, M7, M2, S16, S4"
1879,HOSP10G15432,PHC PAKRIBARWAN,BIHAR,NAWADA,,,,7870576758,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1880,HOSP10G15439,PHC NARDIGANJ,BIHAR,NAWADA,,,,7870863667,"M1,M1,M7,S1,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16"
1881,HOSP10G15442,phc warisaliganj,BIHAR,NAWADA,,,,9934997512,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1882,HOSP10G15443,phc sirdala,BIHAR,NAWADA,,,,9470003532,"M1,M1,M7,M5,S1,S10,S11,S15,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M5, S1, S10, S11, S15, S16, S4"
1883,HOSP10G15453,phc narhat,BIHAR,NAWADA,,,,7320956200,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1884,HOSP10G15454,phc akabarpur,BIHAR,NAWADA,,,,9304379873,"S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S16
1885,HOSP10G15460,phc kawakol,BIHAR,NAWADA,,,,7739357525,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1886,HOSP10G15511,CHC Falka,BIHAR,KATIHAR,,,,9470003376,"M4,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M4, S1, S16, S4"
1887,HOSP10G15553,PHC Hasanpura,BIHAR,SIWAN,,,,9973021990,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,-NA-
1888,HOSP10G15560,PHC RAJAULI,BIHAR,NAWADA,,,,8789984199,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1889,HOSP10G15567,SDH MAHUA,BIHAR,VAISHALI,,,,9835260865,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1890,HOSP10G15581,KHAJECHAND CHAPRA,BIHAR,VAISHALI,,,,9470003826,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1891,HOSP10G15587,RH MOHANPUR RAGHOPUR,BIHAR,VAISHALI,,,,9470003825,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1892,HOSP10G15592,RH LALGANJ,BIHAR,VAISHALI,,,,9470003824,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1893,HOSP10G15614,CHC BHAGWANPUR,BIHAR,VAISHALI,,,,9470003817,"M1,M7,M2,M3,S1,S16,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, M3, S1, S16, S4, S5"
1894,HOSP10G15617,CHC Ekangarsarai,BIHAR,NALANDA,,,,9470003512,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1"
1895,HOSP10G15618,CHC RAJAPAKAR,BIHAR,VAISHALI,,,,9470003821,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1896,HOSP10G15637,PHC Bind,BIHAR,NALANDA,,,,9470003519,"M1,M7,M2,S1,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S1, S4"
1897,HOSP10G15659,SDH TRIVENIGANJ,BIHAR,SUPAUL,,,,7739007771,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1898,HOSP10G15664,RH RAGHOPUR,BIHAR,SUPAUL,,,,9470003797,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1899,HOSP10G15700,PHC KISANPUR,BIHAR,SUPAUL,,,,9470003795,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1900,HOSP10G15708,PHC SARAYGARH BHAPTIYAHE,BIHAR,SUPAUL,,,,8809678800,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1901,HOSP10G15711,SDH Nirmali ,BIHAR,SUPAUL,,,,9470003803,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1902,HOSP10G15712,PHC PIPRA,BIHAR,SUPAUL,,,,9470003801,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1903,HOSP10G15713,PHC PRATAPGANJ,BIHAR,SUPAUL,,,,9470003800,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1904,HOSP10G15715,PHC BASANTPUR,BIHAR,SUPAUL,,,,9470003798,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1905,HOSP10G15717,SADAR BLOCK SUPAUL,BIHAR,SUPAUL,,,,9470003794,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1906,HOSP10G15720,PHC CHATTAPUR,BIHAR,SUPAUL,,,,9570140300,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1907,HOSP10G15748,PHC GHATKUSUMBHA,BIHAR,SHEIKHPURA,,,,9470003734,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1908,HOSP10G15763,PRIMARY HEALTH CENTRE SHEIKHPURA  ,BIHAR,SHEIKHPURA,,,,9431019155,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1909,HOSP10G16010,phc hisua ,BIHAR,NAWADA,,,,9097051341,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1910,HOSP10G16024,CHC  BAKHTIYARPUR,BIHAR,PATNA,,,,9470003594,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1911,HOSP10G16036,SDH BAGAHA,BIHAR,WEST CHAMPARAN,,,,9470003203,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1912,HOSP10G16038,PHC SANGRAMPUR,BIHAR,MUNGER,,,,9006100915,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,-NA-
1913,HOSP10G16044,Primary Health Centre Pipariya,BIHAR,LAKHISARAI,,,,8210290815,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1"
1914,HOSP10G16048,PHC Harnatand Bagha 2,BIHAR,WEST CHAMPARAN,,,,9470003205,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1915,HOSP10G16059,PHC Bairiya,BIHAR,WEST CHAMPARAN,,,,9470003206,"M1,M7,S1,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S4"
1916,HOSP10G16061,CHC Khaira,BIHAR,JAMUI,,,,9934409266,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1917,HOSP10G16064,CHC BARAULI,BIHAR,GOPALGANJ,,,,9470003319,"M1,M7,S1,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16"
1918,HOSP10G16078,SUB DIVISIONAL HOSPITAL BANMANKHI,BIHAR,PURNIA,,,,7739735360,"M1,M7,M2,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S1"
1919,HOSP10G16080,PHC TARIYANI,BIHAR,SHEOHAR,,,,7274037495,"M1,M7,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S16"
1920,HOSP10G16083, PHC BIDUPUR,BIHAR,VAISHALI,,,,9470003816,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1921,HOSP10G16089,PHC CHEHRAKALA,BIHAR,VAISHALI,,,,9470003826,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1922,HOSP10G16091,PHC Alinagar,BIHAR,DARBHANGA,,,,7739529081,"M1,M7,M2,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S16"
1923,HOSP10G16092,PHC DESARI,BIHAR,VAISHALI,,,,9470003808,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1924,HOSP10G16096,PHC GORAUL,BIHAR,VAISHALI,,,,9470003818,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1925,HOSP10G16099,PHC Bhitaha,BIHAR,WEST CHAMPARAN,,,,9931033131,"M1,M7,S1,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S4"
1926,HOSP10G16102,PHC JANDAHA,BIHAR,VAISHALI,,,,9470003812,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1927,HOSP10G16103,PHC LAKRI NAVIGANJ,BIHAR,SIWAN,,,,7294065648,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1928,HOSP10G16105,Subdivisional Hospital Jhanjharpur,BIHAR,MADHUBANI,,,,9470003455,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1929,HOSP10G16107,PHC PATEDHI BELSAR,BIHAR,VAISHALI,,,,9470003822,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1930,HOSP10G16109,PHC Gaunaha,BIHAR,WEST CHAMPARAN,,,,9470003210,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1"
1931,HOSP10G16115,CHC Bithan,BIHAR,SAMASTIPUR,,,,7667007409,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1"
1932,HOSP10G16116,PHC PATEPUR,BIHAR,VAISHALI,,,,9470003819,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1933,HOSP10G16121,Sub Divisional Hospital Forbesganj,BIHAR,ARARIA,,,,9852728786,"M2,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M2, S1"
1934,HOSP10G16122,PHC Madhubani,BIHAR,WEST CHAMPARAN,,,,9470003212,"S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S16
1935,HOSP10G16125,PHC SAHDEI,BIHAR,VAISHALI,,,,9431411593,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1936,HOSP10G16128,PHC VAISHALI,BIHAR,VAISHALI,,,,9470003823,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
1937,HOSP10G16139,Ref Lauriya,BIHAR,WEST CHAMPARAN,,,,9801714714,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1"
1938,HOSP10G16145,REFFERAL HOSPITAL BARBIGHA,BIHAR,SHEIKHPURA,,,,9470003737,"S10,S11,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"S10, S11, S4"
1939,HOSP10G16148,CHC Ariari,BIHAR,SHEIKHPURA,,,,6201903721,"S1,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"S1, S16"
1940,HOSP10G16152,Sub Divisional Jaynagar,BIHAR,MADHUBANI,,,,9470003436,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1941,HOSP10G16155,PHC SIKANDRA,BIHAR,JAMUI,,,,9470003348,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1942,HOSP10G16156,PHC Mainatand,BIHAR,WEST CHAMPARAN,,,,9470003213,"M1,M1,M7,S1,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S4"
1943,HOSP10G16158,Primary Health Centre Shekhopursarai,BIHAR,SHEIKHPURA,,,,9955636344,"M1,M1,M7,S1,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S4"
1944,HOSP10G16168,Primary Health Centre Chewara,BIHAR,SHEIKHPURA,,,,9801080780,"M1,M1,M7,S1,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16"
1945,HOSP10G16172,REFFERAL HOSPITAL MOKAMA,BIHAR,PATNA,,,,9470003597,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1946,HOSP10G16178,CHC JAGDISHPUR,BIHAR,BHAGALPUR,,,,9801438422,"M2,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M2, S1"
1947,HOSP10G16196,CHS SABOUR,BIHAR,BHAGALPUR,,,,9304642676,"M1,M7,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S16"
1948,HOSP10G16203,CHC SHAHKUND,BIHAR,BHAGALPUR,,,,9470003128,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1949,HOSP10G16209,CHC GOPALPUR,BIHAR,BHAGALPUR,,,,9534383273,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1950,HOSP10G16210,CHC BIHPUR,BIHAR,BHAGALPUR,,,,8292218162,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1951,HOSP10G16211,RH DHAKA,BIHAR,EAST CHAMPARAN,,,,9470003182,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1952,HOSP10G16213,SUB DIVISIONAL HOSPITAL DHAMDAHA,BIHAR,PURNIA,,,,8544421716,"M1,M7,M2,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S1, S16, S4"
1953,HOSP10G16222,PHC BARHAT,BIHAR,JAMUI,,,,9470003340,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1954,HOSP10G16224,PHC Majhauliya,BIHAR,WEST CHAMPARAN,,,,9470003214,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1955,HOSP10G16225,PHCBABUBARHI,BIHAR,MADHUBANI,,,,9470003453,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1956,HOSP10G16226,Refferal Hospital Jokihat,BIHAR,ARARIA,,,,9470003035,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1957,HOSP10G16228,PHC PURNAHIYA,BIHAR,SHEOHAR,,,,9473092845,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1958,HOSP10G16237,PHC Nautan,BIHAR,WEST CHAMPARAN,,,,9470003216,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1959,HOSP10G16242,Referral Hospital Rupoli ,BIHAR,PURNIA,,,,9546265121,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1960,HOSP10G16244,PHC Dharhara,BIHAR,MUNGER,,,,8409948982,"S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S16
1961,HOSP10G16248,Sub Divisional Hospital Phulparas,BIHAR,MADHUBANI,,,,9431627857,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1962,HOSP10G16255,PHC Piprasi,BIHAR,WEST CHAMPARAN,,,,9973688322,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1963,HOSP10G16262,PHCRAJNAGAR,BIHAR,MADHUBANI,,,,9470003451,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1964,HOSP10G16263,CHC PRANPUR,BIHAR,KATIHAR,,,,9470003378,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1965,HOSP10G16267,Referral Hospital Amour ,BIHAR,PURNIA,,,,8340627597,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1966,HOSP10G16270,CHC KORHA,BIHAR,KATIHAR,,,,9470003377,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1967,HOSP10G16271,PHCPANDAUL,BIHAR,MADHUBANI,,,,9470003443,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1968,HOSP10G16274,R.H.CHAKAI,BIHAR,JAMUI,,,,9470003341,"M1,M7,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S4"
1969,HOSP10G16278,PHC Ramnagar,BIHAR,WEST CHAMPARAN,,,,9470003217,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1970,HOSP10G16281,PHC Sikta,BIHAR,WEST CHAMPARAN,,,,9470003218,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1971,HOSP10G16283,RH ARERAJ,BIHAR,EAST CHAMPARAN,,,,9079368956,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1972,HOSP10G16285,Refal hospital barari,BIHAR,KATIHAR,,,,9973947351,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1973,HOSP10G16287,PHC Yogapatti,BIHAR,WEST CHAMPARAN,,,,9470003220,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1974,HOSP10G16297,SDH NAUGACHIA,BIHAR,BHAGALPUR,,,,7004160593,"M1,M7,M2,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S16, S4"
1975,HOSP10G16307,Primary Health Center Kaluahi,BIHAR,MADHUBANI,,,,9473369467,"M1,M2,S8,M1,M7,M2,M3,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, M3, S16"
1976,HOSP10G16311,CHC RAXAUL,BIHAR,EAST CHAMPARAN,,,,9470003196,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,-NA-
1977,HOSP10G16313,PHC BIBHUTIPUR,BIHAR,SAMASTIPUR,,,,7859024524,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,M2,S1,S16,S4,","M1, M7, S1, M2, S16, S4"
1978,HOSP10G16318,PHC KALYANPUR,BIHAR,SAMASTIPUR,,,,9470003693,"M1,M7,S1,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16"
1979,HOSP10G16321,CHC MADHUBAN,BIHAR,EAST CHAMPARAN,,,,9472224423,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1980,HOSP10G16322,PHC MOHIUDDIN NAGAR,BIHAR,SAMASTIPUR,,,,9470003686,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,M2,S1,S16,S4,","M1, M7, S1, M2, S16, S4"
1981,HOSP10G16325,PHC Basopatti,BIHAR,MADHUBANI,,,,9470003447,"M1,M1,M7,M2,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S4"
1982,HOSP10G16326,PHC Haweli Kharagpur,BIHAR,MUNGER,,,,9470003460,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1983,HOSP10G16331,CHC KASBA,BIHAR,PURNIA,,,,9430679508,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1984,HOSP10G16335,SDH PAKRIDAYAL,BIHAR,EAST CHAMPARAN,,,,9472414040,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1985,HOSP10G16337,CHC Baisa,BIHAR,PURNIA,,,,9470003637,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
1986,HOSP10G16338,PHC MORWA,BIHAR,SAMASTIPUR,,,,9128967980,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1"
1987,HOSP10G16339,phcsarairanjan,BIHAR,SAMASTIPUR,,,,9470003680,"M1,M7,S1,S16,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16, S4"
1988,HOSP10G16343,PHC SINGHIA,BIHAR,SAMASTIPUR,,,,7857066743,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
1989,HOSP10G16347,PHC UJIYARPUR,BIHAR,SAMASTIPUR,,,,9470003704,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,M2,S1,S4,","M1, M7, M2, S1, S4"
1990,HOSP10G16349,PHC HASANPUR,BIHAR,SAMASTIPUR,,,,7808854154,"M1,M7,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S4"
1991,HOSP10G16355,PHC BAISEE,BIHAR,PURNIA,,,,9470003626,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,S1,S4,","M1, M7, S1, S4"
1992,HOSP10G16356,PHC KHANPUR,BIHAR,SAMASTIPUR,,,,9576866464,"M1,M7,S1,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S16"
